Family;Glyph;Height;Width
Neue Helvetica;x;130;126
Nexa;H;176;148
Nexa;a;130;131
Nexa;k;176;109
Nexa;o;130;132
Nexa;p;186;130
Nexa;x;124;121
Panton;H;178;123
Panton;a;137;96
Panton;k;186;96
Panton;o;137;102
Panton;p;189;97
Panton;x;129;105
Proxima Nova;H;168;140
Proxima Nova;a;128;102
Proxima Nova;k;168;108
Proxima Nova;o;128;121
Proxima Nova;p;172;115
Proxima Nova;x;122;116
Sofia Pro;H;173;131
Sofia Pro;a;124;123
Sofia Pro;k;181;105
Sofia Pro;o;124;123
Sofia Pro;p;178;123
Sofia Pro;x;118;119
Steradian;H;177;132
Steradian;a;133;108
Steradian;k;186;111
Steradian;o;133;136
Steradian;p;184;136
Steradian;x;127;121
Sucrose;H;178;120
Sucrose;a;177;130
Sucrose;k;178;125
Sucrose;o;178;115
Sucrose;p;177;114
Sucrose;x;177;132
TT Commons Classic;H;158;117
TT Commons Classic;a;116;91
TT Commons Classic;k;158;90
TT Commons Classic;o;116;106
TT Commons Classic;p;155;106
TT Commons Classic;x;113;103
TT Firs Neue;H;176;140
TT Firs Neue;a;131;126
TT Firs Neue;k;176;114
TT Firs Neue;o;131;131
TT Firs Neue;p;176;126
TT Firs Neue;x;126;120
TT Norms Pro;H;176;137
TT Norms Pro;a;126;100
TT Norms Pro;k;176;105
TT Norms Pro;o;126;123
TT Norms Pro;p;176;119
TT Norms Pro;x;121;112
Trade Gothic;H;181;127
Trade Gothic;a;136;102
Trade Gothic;k;181;98
Trade Gothic;o;136;107
Trade Gothic;p;182;106
Trade Gothic;x;131;106
Univers;H;181;137
Univers;a;134;107
Univers;k;183;105
Univers;o;135;127
Univers;p;177;121
Univers;x;126;130
Zeit ;H;177;208
Zeit ;a;127;132
Zeit ;k;189;152
Zeit ;o;126;132
Zeit ;p;170;145
Zeit ;x;120;147
Above the Beyond;H;414;286
Above the Beyond;a;133;193
Above the Beyond;k;287;189
Above the Beyond;o;136;150
Above the Beyond;p;335;244
Above the Beyond;x;183;196
Absolute Beauty;H;155;163
Absolute Beauty;a;34;80
Absolute Beauty;k;146;148
Absolute Beauty;o;30;64
Absolute Beauty;p;174;129
Absolute Beauty;x;39;78
Authenia;H;167;160
Authenia;a;81;102
Authenia;k;164;124
Authenia;o;80;85
Authenia;p;154;123
Authenia;x;99;90
Beloved;H;227;318
Beloved;a;72;107
Beloved;k;146;115
Beloved;o;69;67
Beloved;p;157;108
Beloved;x;86;97
Boston Skyline;H;229;145
Boston Skyline;a;92;91
Boston Skyline;k;167;91
Boston Skyline;o;89;78
Boston Skyline;p;161;103
Boston Skyline;x;108;86
Delivery Note;H;183;81
Delivery Note;a;117;79
Delivery Note;k;170;73
Delivery Note;o;112;78
Delivery Note;p;146;52
Delivery Note;x;117;78
Double Porter;H;161;181
Double Porter;a;84;95
Double Porter;k;132;96
Double Porter;o;85;89
Double Porter;p;124;109
Double Porter;x;88;94
Fabiola;H;206;301
Fabiola;a;101;118
Fabiola;k;160;147
Fabiola;o;101;99
Fabiola;p;149;175
Fabiola;x;101;125
Fineday;H;180;224
Fineday;a;112;146
Fineday;k;157;137
Fineday;o;113;127
Fineday;p;164;144
Fineday;x;122;138
Garden Grown;H;190;130
Garden Grown;a;105;125
Garden Grown;k;169;82
Garden Grown;o;112;98
Garden Grown;p;197;85
Garden Grown;x;113;82
Gelato Fresco;H;192;238
Gelato Fresco;a;98;116
Gelato Fresco;k;181;115
Gelato Fresco;o;103;113
Gelato Fresco;p;171;114
Gelato Fresco;x;108;101
Handelson;H;175;192
Handelson;a;85;105
Handelson;k;161;110
Handelson;o;89;99
Handelson;p;161;145
Handelson;x;90;111
Harman;H;283;330
Harman;a;136;177
Harman;k;205;175
Harman;o;137;154
Harman;p;235;204
Harman;x;136;156
Just Lovely;H;215;164
Just Lovely;a;82;98
Just Lovely;k;167;84
Just Lovely;o;70;73
Just Lovely;p;173;89
Just Lovely;x;92;62
Limon;H;250;281
Limon;a;137;134
Limon;k;200;119
Limon;o;154;115
Limon;p;189;104
Limon;x;157;134
Local Brewery;H;204;218
Local Brewery;a;125;152
Local Brewery;k;166;155
Local Brewery;o;123;126
Local Brewery;p;170;163
Local Brewery;x;124;149
Magnite;H;231;184
Magnite;a;39;90
Magnite;k;184;79
Magnite;o;45;76
Magnite;p;176;61
Magnite;x;54;79
Meritocracy;H;262;155
Meritocracy;a;54;83
Meritocracy;k;166;107
Meritocracy;o;55;71
Meritocracy;p;170;120
Meritocracy;x;88;99
Organika;H;216;143
Organika;a;95;120
Organika;k;176;107
Organika;o;97;90
Organika;p;173;86
Organika;x;114;93
Rollerscript;H;176;166
Rollerscript;a;90;159
Rollerscript;k;175;152
Rollerscript;o;97;84
Rollerscript;p;195;200
Rollerscript;x;116;111
Saturday Script;H;269;178
Saturday Script;a;126;96
Saturday Script;k;250;117
Saturday Script;o;116;97
Saturday Script;p;201;125
Saturday Script;x;148;106
Viva Beautiful;H;167;119
Viva Beautiful;a;105;135
Viva Beautiful;k;176;133
Viva Beautiful;o;101;112
Viva Beautiful;p;172;105
Viva Beautiful;x;107;103
White Oleander;H;234;230
White Oleander;a;47;101
White Oleander;k;206;122
White Oleander;o;51;86
White Oleander;p;194;188
White Oleander;x;60;64
Aire;H;174;139
Aire;a;119;106
Aire;k;182;113
Aire;o;118;107
Aire;p;180;117
Aire;x;115;114
Albra;H;180;193
Albra;a;128;131
Albra;k;191;145
Albra;o;128;129
Albra;p;176;140
Albra;x;122;136
Anko;H;168;179
Anko;a;117;105
Anko;k;180;124
Anko;o;116;109
Anko;p;167;124
Anko;x;111;125
Baltica;H;168;186
Baltica;a;122;118
Baltica;k;169;138
Baltica;o;122;121
Baltica;p;172;131
Baltica;x;116;133
Begum;H;169;154
Begum;a;134;114
Begum;k;192;126
Begum;o;134;126
Begum;p;192;125
Begum;x;128;139
Blacker Pro;H;177;183
Blacker Pro;a;130;117
Blacker Pro;k;185;142
Blacker Pro;o;130;132
Blacker Pro;p;178;140
Blacker Pro;x;124;138
Bodoni;H;168;161
Bodoni;a;106;102
Bodoni;k;175;111
Bodoni;o;106;97
Bodoni;p;159;112
Bodoni;x;100;104
Capitolium 2;H;166;164
Capitolium 2;a;119;103
Capitolium 2;k;184;123
Capitolium 2;o;120;114
Capitolium 2;p;179;126
Capitolium 2;x;116;122
Cardillac;H;174;170
Cardillac;a;126;116
Cardillac;k;188;132
Cardillac;o;126;116
Cardillac;p;181;131
Cardillac;x;119;135
Corporate A;H;169;154
Corporate A;a;124;103
Corporate A;k;171;127
Corporate A;o;125;99
Corporate A;p;172;116
Corporate A;x;120;121
Desire;H;170;105
Desire;a;119;79
Desire;k;170;93
Desire;o;119;81
Desire;p;171;91
Desire;x;115;90
Dress;H;208;159
Dress;a;181;137
Dress;k;181;140
Dress;o;184;136
Dress;p;183;123
Dress;x;181;142
Editor;H;188;196
Editor;a;129;132
Editor;k;188;158
Editor;o;129;138
Editor;p;184;146
Editor;x;124;153
Freight Display Pro;H;157;174
Freight Display Pro;a;115;107
Freight Display Pro;k;171;124
Freight Display Pro;o;116;119
Freight Display Pro;p;175;126
Freight Display Pro;x;109;123
Hermann;H;162;183
Hermann;a;106;101
Hermann;k;177;113
Hermann;o;106;104
Hermann;p;157;114
Hermann;x;98;111
ITC Charter;H;169;169
ITC Charter;a;125;113
ITC Charter;k;185;129
ITC Charter;o;126;117
ITC Charter;p;178;125
