Family;Category;Glyph;Height;Width
Neue Haas Grotesk Text 55 Roman;Sans;x;135;130
Panton Narrow Regular;Sans;H;178;123
Panton Narrow Regular;Sans;a;137;96
Panton Narrow Regular;Sans;k;186;96
Panton Narrow Regular;Sans;o;137;102
Panton Narrow Regular;Sans;p;189;97
Panton Narrow Regular;Sans;x;129;105
Steradian Regular;Sans;H;177;132
Steradian Regular;Sans;a;133;108
Steradian Regular;Sans;k;186;111
Steradian Regular;Sans;o;133;136
Steradian Regular;Sans;p;184;136
Steradian Regular;Sans;x;127;121
Sucrose Bold Two;Sans;H;178;120
Sucrose Bold Two;Sans;a;177;130
Sucrose Bold Two;Sans;k;178;125
Sucrose Bold Two;Sans;o;178;115
Sucrose Bold Two;Sans;p;177;114
Sucrose Bold Two;Sans;x;177;132
TT Commons Classic Regular;Sans;H;158;117
TT Commons Classic Regular;Sans;a;116;91
TT Commons Classic Regular;Sans;k;158;90
TT Commons Classic Regular;Sans;o;116;106
TT Commons Classic Regular;Sans;p;155;106
TT Commons Classic Regular;Sans;x;113;103
TT Firs Neue Regular;Sans;H;176;140
TT Firs Neue Regular;Sans;a;131;126
TT Firs Neue Regular;Sans;k;176;114
TT Firs Neue Regular;Sans;o;131;131
TT Firs Neue Regular;Sans;p;176;126
TT Firs Neue Regular;Sans;x;126;120
TT Norms Pro Regular;Sans;H;176;137
TT Norms Pro Regular;Sans;a;126;100
TT Norms Pro Regular;Sans;k;176;105
TT Norms Pro Regular;Sans;o;126;123
TT Norms Pro Regular;Sans;p;176;119
TT Norms Pro Regular;Sans;x;121;112
Above the Beyond Script;Script;H;414;286
Above the Beyond Script;Script;a;133;193
Above the Beyond Script;Script;k;287;189
Above the Beyond Script;Script;o;136;150
Above the Beyond Script;Script;p;335;244
Above the Beyond Script;Script;x;183;196
Absolute Beauty Script Regular;Script;H;155;163
Absolute Beauty Script Regular;Script;a;34;80
Absolute Beauty Script Regular;Script;k;146;148
Absolute Beauty Script Regular;Script;o;30;64
Absolute Beauty Script Regular;Script;p;174;129
Absolute Beauty Script Regular;Script;x;39;78
Authenia Textured;Script;H;167;160
Authenia Textured;Script;a;81;102
Authenia Textured;Script;k;164;124
Authenia Textured;Script;o;80;85
Authenia Textured;Script;p;154;123
Authenia Textured;Script;x;99;90
Beloved Script;Script;H;227;318
Beloved Script;Script;a;72;107
Beloved Script;Script;k;146;115
Beloved Script;Script;o;69;67
Beloved Script;Script;p;157;108
Beloved Script;Script;x;86;97
Boston Skyline Rough;Script;H;229;145
Boston Skyline Rough;Script;a;92;91
Boston Skyline Rough;Script;k;167;91
Boston Skyline Rough;Script;o;89;78
Boston Skyline Rough;Script;p;161;103
Boston Skyline Rough;Script;x;108;86
Chin Up Buttercup;Script;H;196;152
Chin Up Buttercup;Script;a;68;68
Chin Up Buttercup;Script;k;163;78
Chin Up Buttercup;Script;o;59;60
Chin Up Buttercup;Script;p;143;58
Chin Up Buttercup;Script;x;86;60
Delivery Note Regular;Script;H;183;81
Delivery Note Regular;Script;a;117;79
Delivery Note Regular;Script;k;170;73
Delivery Note Regular;Script;o;112;78
Delivery Note Regular;Script;p;146;52
Delivery Note Regular;Script;x;117;78
Double Porter 1;Script;H;161;181
Double Porter 1;Script;a;84;95
Double Porter 1;Script;k;132;96
Double Porter 1;Script;o;85;89
Double Porter 1;Script;p;124;109
Double Porter 1;Script;x;88;94
Fabiola Script;Script;H;206;301
Fabiola Script;Script;a;101;118
Fabiola Script;Script;k;160;147
Fabiola Script;Script;o;101;99
Fabiola Script;Script;p;149;175
Fabiola Script;Script;x;101;125
Fineday Style One;Script;H;180;224
Fineday Style One;Script;a;112;146
Fineday Style One;Script;k;157;137
Fineday Style One;Script;o;113;127
Fineday Style One;Script;p;164;144
Fineday Style One;Script;x;122;138
Garden Grown;Script;H;190;130
Garden Grown;Script;a;105;125
Garden Grown;Script;k;169;82
Garden Grown;Script;o;112;98
Garden Grown;Script;p;197;85
Garden Grown;Script;x;113;82
Gelato Fresco Regular;Script;H;192;238
Gelato Fresco Regular;Script;a;98;116
Gelato Fresco Regular;Script;k;181;115
Gelato Fresco Regular;Script;o;103;113
Gelato Fresco Regular;Script;p;171;114
Gelato Fresco Regular;Script;x;108;101
Handelson One;Script;H;175;192
Handelson One;Script;a;85;105
Handelson One;Script;k;161;110
Handelson One;Script;o;89;99
Handelson One;Script;p;161;145
Handelson One;Script;x;90;111
Hanley Pro Script Alt;Script;H;252;266
Hanley Pro Script Alt;Script;a;114;156
Hanley Pro Script Alt;Script;k;166;157
Hanley Pro Script Alt;Script;o;117;146
Hanley Pro Script Alt;Script;p;170;195
Hanley Pro Script Alt;Script;x;113;157
Harman Script;Script;H;283;330
Harman Script;Script;a;136;177
Harman Script;Script;k;205;175
Harman Script;Script;o;137;154
Harman Script;Script;p;235;204
Harman Script;Script;x;136;156
Just Lovely;Script;H;215;164
Just Lovely;Script;a;82;98
Just Lovely;Script;k;167;84
Just Lovely;Script;o;70;73
Just Lovely;Script;p;173;89
Just Lovely;Script;x;92;62
Limon Script Regular;Script;H;250;281
Limon Script Regular;Script;a;137;134
Limon Script Regular;Script;k;200;119
Limon Script Regular;Script;o;154;115
Limon Script Regular;Script;p;189;104
Limon Script Regular;Script;x;157;134
Local Brewery;Script;H;204;218
Local Brewery;Script;a;125;152
Local Brewery;Script;k;166;155
Local Brewery;Script;o;123;126
Local Brewery;Script;p;170;163
Local Brewery;Script;x;124;149
Madina Script;Script;H;301;237
Madina Script;Script;a;128;110
Madina Script;Script;k;256;118
Madina Script;Script;o;91;73
Madina Script;Script;p;234;164
Madina Script;Script;x;191;133
Magnite Regular;Script;H;231;184
Magnite Regular;Script;a;39;90
Magnite Regular;Script;k;184;79
Magnite Regular;Script;o;45;76
Magnite Regular;Script;p;176;61
Magnite Regular;Script;x;54;79
Meritocracy Regular;Script;H;262;155
Meritocracy Regular;Script;a;54;83
Meritocracy Regular;Script;k;166;107
Meritocracy Regular;Script;o;55;71
Meritocracy Regular;Script;p;170;120
Meritocracy Regular;Script;x;88;99
"Nexa Rust Script S 4";Script;H;183;171
"Nexa Rust Script S 4";Script;a;183;207
"Nexa Rust Script S 4";Script;k;183;167
"Nexa Rust Script S 4";Script;o;190;202
"Nexa Rust Script S 4";Script;p;182;163
"Nexa Rust Script S 4";Script;x;183;183
Northwell Reg;Script;H;249;136
Northwell Reg;Script;a;58;111
Northwell Reg;Script;k;238;112
Northwell Reg;Script;o;56;81
Northwell Reg;Script;p;209;95
Northwell Reg;Script;x;93;108
Organika Script;Script;H;216;143
Organika Script;Script;a;95;120
Organika Script;Script;k;176;107
Organika Script;Script;o;97;90
Organika Script;Script;p;173;86
Organika Script;Script;x;114;93
Rollerscript Smooth;Script;H;176;166
Rollerscript Smooth;Script;a;90;159
Rollerscript Smooth;Script;k;175;152
Rollerscript Smooth;Script;o;97;84
Rollerscript Smooth;Script;p;195;200
Rollerscript Smooth;Script;x;116;111
"Saturday Script";Script;H;269;178
"Saturday Script";Script;a;126;96
"Saturday Script";Script;k;250;117
"Saturday Script";Script;o;116;97
"Saturday Script";Script;p;201;125
"Saturday Script";Script;x;148;106
Selfie Selfie;Script;H;197;325
Selfie Selfie;Script;a;94;88
Selfie Selfie;Script;k;149;107
Selfie Selfie;Script;o;94;72
Selfie Selfie;Script;p;158;117
Selfie Selfie;Script;x;95;106
