category;family;style;glyph;regions;straights;angles;curves
slab serif;Anaphora;Anaphora Book Italic;p;3;8;9;12
slab serif;Anaphora;Anaphora Book Italic;x;1;14;16;12
slab serif;Anaphora;Anaphora Book;a;2;6;7;19
slab serif;Anaphora;Anaphora Book;H;1;26;28;0
slab serif;Anaphora;Anaphora Book;k;1;15;19;6
slab serif;Anaphora;Anaphora Book;o;2;7;0;21
slab serif;Anaphora;Anaphora Book;p;2;10;12;10
slab serif;Anaphora;Anaphora Book;x;1;21;24;10
slab serif;Anaphora;Anaphora Extra Bold Italic;a;3;6;4;15
slab serif;Anaphora;Anaphora Extra Bold Italic;H;1;18;22;5
slab serif;Anaphora;Anaphora Extra Bold Italic;k;1;8;12;9
slab serif;Anaphora;Anaphora Extra Bold Italic;o;2;5;0;15
slab serif;Anaphora;Anaphora Extra Bold Italic;p;2;7;8;13
slab serif;Anaphora;Anaphora Extra Bold Italic;x;1;11;14;14
slab serif;Anaphora;Anaphora Extra Bold;a;2;8;8;16
slab serif;Anaphora;Anaphora Extra Bold;H;1;21;28;4
slab serif;Anaphora;Anaphora Extra Bold;k;1;14;20;6
slab serif;Anaphora;Anaphora Extra Bold;o;2;8;0;14
slab serif;Anaphora;Anaphora Extra Bold;p;2;8;13;12
slab serif;Anaphora;Anaphora Extra Bold;x;1;13;24;11
slab serif;Anaphora;Anaphora Extra Light Italic;a;2;7;6;21
slab serif;Anaphora;Anaphora Extra Light Italic;H;1;26;27;0
slab serif;Anaphora;Anaphora Extra Light Italic;k;1;12;15;6
slab serif;Anaphora;Anaphora Extra Light Italic;o;2;12;0;18
slab serif;Anaphora;Anaphora Extra Light Italic;p;3;6;10;12
slab serif;Anaphora;Anaphora Extra Light Italic;x;1;14;17;8
slab serif;Anaphora;Anaphora Extra Light;a;2;9;6;19
slab serif;Anaphora;Anaphora Extra Light;H;1;24;28;2
slab serif;Anaphora;Anaphora Extra Light;k;1;14;18;7
slab serif;Anaphora;Anaphora Extra Light;o;2;12;0;23
slab serif;Anaphora;Anaphora Extra Light;p;2;9;12;13
slab serif;Anaphora;Anaphora Extra Light;x;1;21;22;12
slab serif;Anaphora;Anaphora Fat Italic;a;2;4;5;14
slab serif;Anaphora;Anaphora Fat Italic;H;1;13;20;8
slab serif;Anaphora;Anaphora Fat Italic;k;1;8;12;10
slab serif;Anaphora;Anaphora Fat Italic;o;2;5;0;15
slab serif;Anaphora;Anaphora Fat Italic;p;2;6;8;12
slab serif;Anaphora;Anaphora Fat Italic;x;1;9;12;15
slab serif;Anaphora;Anaphora Fat;a;2;9;8;12
slab serif;Anaphora;Anaphora Fat;H;1;24;28;3
slab serif;Anaphora;Anaphora Fat;k;1;10;18;8
slab serif;Anaphora;Anaphora Fat;o;2;7;0;14
slab serif;Anaphora;Anaphora Fat;p;2;8;13;10
slab serif;Anaphora;Anaphora Fat;x;1;10;22;13
slab serif;Anaphora;Anaphora Italic;a;3;8;7;20
slab serif;Anaphora;Anaphora Italic;H;1;21;26;5
slab serif;Anaphora;Anaphora Italic;k;1;11;14;9
slab serif;Anaphora;Anaphora Italic;o;2;10;0;19
slab serif;Anaphora;Anaphora Italic;p;3;8;10;13
slab serif;Anaphora;Anaphora Italic;x;1;14;17;10
slab serif;Anaphora;Anaphora Light Italic;a;3;8;5;21
slab serif;Anaphora;Anaphora Light Italic;H;1;26;28;2
slab serif;Anaphora;Anaphora Light Italic;k;1;14;17;8
slab serif;Anaphora;Anaphora Light Italic;o;2;9;0;20
slab serif;Anaphora;Anaphora Light Italic;p;3;6;10;14
slab serif;Anaphora;Anaphora Light Italic;x;1;11;15;12
slab serif;Anaphora;Anaphora Light;a;2;8;8;17
slab serif;Anaphora;Anaphora Light;H;1;25;28;0
slab serif;Anaphora;Anaphora Light;k;1;16;19;5
slab serif;Anaphora;Anaphora Light;o;2;8;0;22
slab serif;Anaphora;Anaphora Light;p;2;10;11;11
slab serif;Anaphora;Anaphora Light;x;1;22;24;11
slab serif;Anaphora;Anaphora Medium Italic;a;3;5;5;19
slab serif;Anaphora;Anaphora Medium Italic;H;1;17;24;7
slab serif;Anaphora;Anaphora Medium Italic;k;1;13;14;8
slab serif;Anaphora;Anaphora Medium Italic;o;2;5;0;18
slab serif;Anaphora;Anaphora Medium Italic;p;3;7;9;11
slab serif;Anaphora;Anaphora Medium Italic;x;1;12;14;16
slab serif;Anaphora;Anaphora Medium;a;2;7;8;16
slab serif;Anaphora;Anaphora Medium;H;1;25;28;3
slab serif;Anaphora;Anaphora Medium;k;1;14;19;8
slab serif;Anaphora;Anaphora Medium;o;2;6;0;19
slab serif;Anaphora;Anaphora Medium;p;2;9;12;12
slab serif;Anaphora;Anaphora Medium;x;1;20;24;10
slab serif;Anaphora;Anaphora Regular;a;2;7;8;19
slab serif;Anaphora;Anaphora Regular;H;1;25;28;0
slab serif;Anaphora;Anaphora Regular;k;1;14;19;7
slab serif;Anaphora;Anaphora Regular;o;2;8;0;19
slab serif;Anaphora;Anaphora Regular;p;2;7;11;14
slab serif;Anaphora;Anaphora Regular;x;1;17;23;9
slab serif;Anaphora;Anaphora Stencil Book;a;2;7;8;18
slab serif;Anaphora;Anaphora Stencil Book;H;2;26;28;0
slab serif;Anaphora;Anaphora Stencil Book;k;2;16;19;7
slab serif;Anaphora;Anaphora Stencil Book;o;2;10;8;19
slab serif;Anaphora;Anaphora Stencil Book;p;2;9;12;12
slab serif;Anaphora;Anaphora Stencil Book;x;3;19;24;10
slab serif;Anaphora;Anaphora Stencil Extra Bold;a;2;9;8;17
slab serif;Anaphora;Anaphora Stencil Extra Bold;H;2;21;28;5
slab serif;Anaphora;Anaphora Stencil Extra Bold;k;2;10;17;7
slab serif;Anaphora;Anaphora Stencil Extra Bold;o;2;8;8;15
slab serif;Anaphora;Anaphora Stencil Extra Bold;p;2;8;13;12
slab serif;Anaphora;Anaphora Stencil Extra Bold;x;3;15;24;11
slab serif;Anaphora;Anaphora Stencil Fat;a;2;7;10;11
slab serif;Anaphora;Anaphora Stencil Fat;H;2;21;28;5
slab serif;Anaphora;Anaphora Stencil Fat;k;2;8;14;11
slab serif;Anaphora;Anaphora Stencil Fat;o;2;9;4;14
slab serif;Anaphora;Anaphora Stencil Fat;p;2;8;13;11
slab serif;Anaphora;Anaphora Stencil Fat;x;3;7;17;13
slab serif;Anaphora;Anaphora Stencil Thin;a;2;10;10;16
slab serif;Anaphora;Anaphora Stencil Thin;H;2;15;20;5
slab serif;Anaphora;Anaphora Stencil Thin;k;2;13;17;8
slab serif;Anaphora;Anaphora Stencil Thin;o;2;16;8;19
slab serif;Anaphora;Anaphora Stencil Thin;p;2;9;11;12
slab serif;Anaphora;Anaphora Stencil Thin;x;3;21;24;9
slab serif;Anaphora;Anaphora Thin Italic;a;2;10;5;20
slab serif;Anaphora;Anaphora Thin Italic;H;1;17;20;2
slab serif;Anaphora;Anaphora Thin Italic;k;1;13;16;7
slab serif;Anaphora;Anaphora Thin Italic;o;2;10;0;24
slab serif;Anaphora;Anaphora Thin Italic;p;3;11;10;13
slab serif;Anaphora;Anaphora Thin Italic;x;1;16;17;10
slab serif;Anaphora;Anaphora Thin;a;2;9;9;18
slab serif;Anaphora;Anaphora Thin;H;1;14;20;5
slab serif;Anaphora;Anaphora Thin;k;1;12;17;8
slab serif;Anaphora;Anaphora Thin;o;2;12;0;20
slab serif;Anaphora;Anaphora Thin;p;2;12;10;13
slab serif;Anaphora;Anaphora Thin;x;1;20;23;10
slab serif;Archipad Pro;Archipad Pro Black Oblique;a;2;7;6;15
slab serif;Archipad Pro;Archipad Pro Black Oblique;H;1;12;12;3
slab serif;Archipad Pro;Archipad Pro Black Oblique;k;1;10;10;6
slab serif;Archipad Pro;Archipad Pro Black Oblique;o;2;8;0;17
slab serif;Archipad Pro;Archipad Pro Black Oblique;p;2;5;6;11
slab serif;Archipad Pro;Archipad Pro Black Oblique;x;1;12;9;4
