Category;Family;Style;Connections;Average connections
slab serif;Breve Slab Text;Breve Slab Text Bold Italic;0;
slab serif;Breve Slab Text;Breve Slab Text Bold;0;
slab serif;Breve Slab Text;Breve Slab Text Book Italic;0;
slab serif;Breve Slab Text;Breve Slab Text Book;0;
slab serif;Breve Slab Text;Breve Slab Text Light Italic;0;
slab serif;Breve Slab Text;Breve Slab Text Light;0;
slab serif;Breve Slab Text;Breve Slab Text Medium Italic;0;
slab serif;Breve Slab Text;Breve Slab Text Medium;0;
slab serif;Breve Slab Text;Breve Slab Text Semi Bold Italic;0;
slab serif;Breve Slab Text;Breve Slab Text Semi Bold;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black Italic;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold Italic;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed Brix Slab Condensed;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight Italic;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed Italic;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light Italic;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium Italic;0;
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium;0;
slab serif;Brix Slab™;Brix Slab Black Italic;0;
slab serif;Brix Slab™;Brix Slab Black;0;
slab serif;Brix Slab™;Brix Slab Bold Italic;0;
slab serif;Brix Slab™;Brix Slab Bold;0;
slab serif;Brix Slab™;Brix Slab Brix Slab;0;
slab serif;Brix Slab™;Brix Slab ExtraLight Italic;0;
slab serif;Brix Slab™;Brix Slab ExtraLight;0;
slab serif;Brix Slab™;Brix Slab Italic;0;
slab serif;Brix Slab™;Brix Slab Light Italic;0;
slab serif;Brix Slab™;Brix Slab Light;0;
slab serif;Brix Slab™;Brix Slab Medium Italic;0;
slab serif;Brix Slab™;Brix Slab Medium;0;
slab serif;Brossard;Brossard Outline;0;
slab serif;Brossard;Brossard;0;
slab serif;Brussels City;Brussels City Italic;0;
slab serif;Brussels City;Brussels City Regular;0;
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold Italic;0;
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold;0;
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Italic;0;
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium Italic;1;
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium;1;
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Regular;0;
slab serif;Bumbon;Bumbon Bold Italic;0;
slab serif;Bumbon;Bumbon Bold;0;
slab serif;Bumbon;Bumbon Italic;0;
slab serif;Bumbon;Bumbon Regular;0;
slab serif;Bunday Slab™;Bunday Slab Bold It;0;
slab serif;Bunday Slab™;Bunday Slab Bold;0;
slab serif;Bunday Slab™;Bunday Slab Bold Up;0;
slab serif;Bunday Slab™;Bunday Slab ExtraBold It;0;
slab serif;Bunday Slab™;Bunday Slab ExtraBold;0;
slab serif;Bunday Slab™;Bunday Slab ExtraBold Up;0;
slab serif;Bunday Slab™;Bunday Slab Hair It;0;
slab serif;Bunday Slab™;Bunday Slab Hair;0;
slab serif;Bunday Slab™;Bunday Slab Hair Up;0;
slab serif;Bunday Slab™;Bunday Slab Heavy;0;
slab serif;Bunday Slab™;Bunday Slab Heavy Up;0;
slab serif;Bunday Slab™;Bunday Slab Light It;0;
slab serif;Bunday Slab™;Bunday Slab Light;0;
slab serif;Bunday Slab™;Bunday Slab Light Up;0;
slab serif;Bunday Slab™;Bunday Slab Regular It;0;
slab serif;Bunday Slab™;Bunday Slab Regular;0;
slab serif;Bunday Slab™;Bunday Slab Regular Up;0;
slab serif;Bunday Slab™;Bunday Slab SemiBold It;0;
slab serif;Bunday Slab™;Bunday Slab SemiBold;0;
slab serif;Bunday Slab™;Bunday Slab SemiBold Up;0;
slab serif;Bunday Slab™;Bunday Slab SemiLight It;0;
slab serif;Bunday Slab™;Bunday Slab SemiLight;0;
slab serif;Bunday Slab™;Bunday Slab SemiLight Up;0;
slab serif;Bunday Slab™;Bunday Slab Thin It;0;
slab serif;Bunday Slab™;Bunday Slab Thin;0;
slab serif;Bunday Slab™;Bunday Slab Thin Up;0;
slab serif;CamingoSlab™;Camingo Slab Black Italic;0;
slab serif;CamingoSlab™;Camingo Slab Black;0;
slab serif;CamingoSlab™;CamingoSlab Bold Italic;0;
slab serif;CamingoSlab™;CamingoSlab Bold;0;
slab serif;CamingoSlab™;CamingoSlab ExtraBold Italic;0;
slab serif;CamingoSlab™;CamingoSlab ExtraBold;0;
slab serif;CamingoSlab™;CamingoSlab ExtraLight Italic;0;
slab serif;CamingoSlab™;CamingoSlab ExtraLight;0;
slab serif;CamingoSlab™;CamingoSlab Light Italic;0;
slab serif;CamingoSlab™;CamingoSlab Light;0;
slab serif;CamingoSlab™;CamingoSlab Pro Black Italic;0;
slab serif;CamingoSlab™;CamingoSlab Pro Black;0;
slab serif;CamingoSlab™;CamingoSlab Pro Bold Italic;0;
slab serif;CamingoSlab™;CamingoSlab Pro Bold;0;
slab serif;CamingoSlab™;CamingoSlab Pro ExtraBold Italic;0;
slab serif;CamingoSlab™;CamingoSlab Pro ExtraBold;0;
slab serif;CamingoSlab™;CamingoSlab Pro ExtraLight Italic;0;
slab serif;CamingoSlab™;CamingoSlab Pro ExtraLight;0;
slab serif;CamingoSlab™;CamingoSlab Pro Light Italic;0;
slab serif;CamingoSlab™;CamingoSlab Pro Light;0;
slab serif;CamingoSlab™;CamingoSlab Pro Regular Italic;0;
slab serif;CamingoSlab™;CamingoSlab Pro Regular;0;
slab serif;CamingoSlab™;CamingoSlab Pro SemiBold Italic;0;
slab serif;CamingoSlab™;CamingoSlab Pro SemiBold;0;
slab serif;CamingoSlab™;CamingoSlab Regular Italic;0;
slab serif;CamingoSlab™;CamingoSlab Regular;0;
slab serif;CamingoSlab™;CamingoSlab SemiBold Italic;0;
slab serif;CamingoSlab™;CamingoSlab SemiBold;0;
slab serif;Carnival;Carnival Regular;0;
