Category;Family;StyleName;Slope
slab serif;Artegra Slab;Artegra Slab Extended Light Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Extended Light;90.0
slab serif;Artegra Slab;Artegra Slab Extended Medium Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Extended Medium;90.0
slab serif;Artegra Slab;Artegra Slab Extended Regular Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Extended Regular;90.0
slab serif;Artegra Slab;Artegra Slab Extended SemiBold Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Extended SemiBold;90.0
slab serif;Artegra Slab;Artegra Slab Extended Thin Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Extended Thin;90.0
slab serif;Artegra Slab;Artegra Slab ExtraBold Italic;180.0
slab serif;Artegra Slab;Artegra Slab ExtraBold;90.0
slab serif;Artegra Slab;Artegra Slab ExtraLight Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab ExtraLight;90.0
slab serif;Artegra Slab;Artegra Slab Light Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Light;90.0
slab serif;Artegra Slab;Artegra Slab Medium Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Medium;90.0
slab serif;Artegra Slab;Artegra Slab Regular Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Regular;90.0
slab serif;Artegra Slab;Artegra Slab SemiBold Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab SemiBold;90.0
slab serif;Artegra Slab;Artegra Slab Thin Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Thin;90.0
slab serif;Astroph;Astroph  Aged;90.0
slab serif;Astroph;Astroph  Regular;90.0
slab serif;Astroph;Astroph  Rough;90.99999994039536
slab serif;Aterline;Aterline Bold Italic;105.99999904632568
slab serif;Aterline;Aterline Bold;90.0
slab serif;Aterline;Aterline Italic;105.0
slab serif;Aterline;Aterline Regular;90.0
slab serif;AT Move Specx Stncl™;AT Move Specx Stncl;90.0
slab serif;AT Move Specx™;AT Move Specx;90.0
slab serif;Attorney;Attorney Black Italic;96.99999952316284
slab serif;Attorney;Attorney Black;90.0
slab serif;Attorney;Attorney Bold Italic;96.99999952316284
slab serif;Attorney;Attorney Bold;90.0
slab serif;Attorney;Attorney Extralight Italic;96.99999952316284
slab serif;Attorney;Attorney Extralight;90.0
slab serif;Attorney;Attorney Italic;96.99999952316284
slab serif;Attorney;Attorney Light Italic;96.99999952316284
slab serif;Attorney;Attorney Light;90.0
slab serif;Attorney;Attorney Medium Italic;96.99999952316284
slab serif;Attorney;Attorney Medium;90.0
slab serif;Attorney;Attorney Regular;90.0
slab serif;Attorney;Attorney Semibold Italic;96.99999952316284
slab serif;Attorney;Attorney Semibold;90.0
slab serif;Ballege;Ballege Black Oblique;100.99999904632568
slab serif;Ballege;Ballege Black;90.0
slab serif;Ballege;Ballege Bold Oblique;100.99999904632568
slab serif;Ballege;Ballege Bold;90.0
slab serif;Ballege;Ballege Light Oblique;100.99999904632568
slab serif;Ballege;Ballege Light;90.0
slab serif;Ballege;Ballege Oblique;100.99999904632568
slab serif;Ballege;Ballege;90.0
slab serif;Ballege;Ballege UltraLight Oblique;100.99999904632568
slab serif;Ballege;Ballege UltraLight;90.0
slab serif;Battleslab;Battleslab Black;90.0
slab serif;Battleslab;Battleslab Light;90.0
slab serif;Bear Anark;Bear Anark Bold Italic;100.99999904632568
slab serif;Bear Anark;Bear Anark Bold;90.0
slab serif;Bear Anark;Bear Anark Extra Bold Italic;100.99999904632568
slab serif;Bear Anark;Bear Anark Extra Bold;90.0
slab serif;Bear Anark;Bear Anark Italic;100.99999904632568
slab serif;Bear Anark;Bear Anark Light Italic;100.99999904632568
slab serif;Bear Anark;Bear Anark Light;90.0
slab serif;Bear Anark;Bear Anark Regular;90.0
slab serif;Bear Anark;Bear Anark Thin Italic;100.99999904632568
slab serif;Bear Anark;Bear Anark Thin;90.0
slab serif;BearButte™;BearButte BearButte;90.0
slab serif;BearButte™;BearButte Bold Italic;102.0
slab serif;BearButte™;BearButte Bold;90.0
slab serif;BearButte™;BearButte Italic;102.0
slab serif;BearButte™;BearButte Special;90.0
slab serif;Belco™;Belco Light;90.0
slab serif;Belco™;Belco Light Slab Serif;90.0
slab serif;Belco™;Belco;90.0
slab serif;Belco™;Belco Slab Serif;90.0
slab serif;Belco™;Belco Slab Serif UltraLight;90.0
slab serif;Belco™;Belco UltraLight;90.0
slab serif;Belco™;Belco UltraLight SC;90.0
slab serif;Bellagium;Bellagium Regular;180.0
slab serif;Bodrum Slab;Bodrum Slab 10 Hairline Italic;99.99999904632568
slab serif;Bodrum Slab;Bodrum Slab 10 Hairline;90.0
slab serif;Bodrum Slab;Bodrum Slab 11 Thin Italic;99.99999904632568
slab serif;Bodrum Slab;Bodrum Slab 11 Thin;90.0
slab serif;Bodrum Slab;Bodrum Slab 12 Extra Light Italic;99.99999904632568
slab serif;Bodrum Slab;Bodrum Slab 12 Extra Light;90.0
slab serif;Bodrum Slab;Bodrum Slab 13 Light Italic;99.99999904632568
slab serif;Bodrum Slab;Bodrum Slab 13 Light;90.0
slab serif;Bodrum Slab;Bodrum Slab 14 Regular Italic;99.99999904632568
slab serif;Bodrum Slab;Bodrum Slab 14 Regular;90.0
slab serif;Bodrum Slab;Bodrum Slab 15 Medium Italic;99.99999904632568
slab serif;Bodrum Slab;Bodrum Slab 15 Medium;90.0
slab serif;Bodrum Slab;Bodrum Slab 16 Bold Italic;99.99999904632568
slab serif;Bodrum Slab;Bodrum Slab 16 Bold;90.0
slab serif;Bodrum Slab;Bodrum Slab 17 Extra Bold Italic;99.99999904632568
slab serif;Bodrum Slab;Bodrum Slab 17 Extra Bold;90.0
